"","player_name","teamName","runs","balls_faced","4s","6s","strike_rate","innings_number","opposition","match_format","venue","date","city","batting_position"
"1","ML Hayden",NA,"380","437","38","11","86.95","1","Zimbabwe","Test","Perth","2003-10-09","",""
"2","MA Taylor",NA,"334","564","32","1","59.21","1","Pakistan","Test","Peshawar","1998-10-15","",""
"3","DG Bradman",NA,"334","448","46","0","74.55","1","England","Test","Leeds","1930-07-11","",""
"4","MJ Clarke",NA,"329","468","39","1","70.29","2","India","Test","Sydney","2012-01-03","",""
"5","RB Simpson",NA,"311","743","23","1","41.85","1","England","Test","Manchester","1964-07-23","",""
"6","RM Cowper",NA,"307","589","20","0","52.12","2","England","Test","Melbourne","1966-02-11","",""
"7","DG Bradman",NA,"304","473","43","2","64.27","2","England","Test","Leeds","1934-07-20","",""
"8","DG Bradman",NA,"299","-","23","0","-","2","South Africa","Test","Adelaide","1932-01-29","",""
"9","DG Bradman",NA,"270","375","22","0","72.00","3","England","Test","Melbourne","1937-01-01","",""
"10","AC Voges",NA,"269","285","33","0","94.38","1","West Indies","Test","Hobart","2015-12-10","",""
"11","GN Yallop",NA,"268","517","29","0","51.83","2","Pakistan","Test","Melbourne","1983-12-26","",""
"12","WH Ponsford",NA,"266","422","27","0","63.03","1","England","Test","The Oval","1934-08-18","",""
"13","MJ Clarke",NA,"259","398","26","0","65.07","2","South Africa","Test","Brisbane","2012-11-09","",""
"14","RT Ponting",NA,"257","458","25","0","56.11","2","India","Test","Melbourne","2003-12-26","",""
"15","DG Bradman",NA,"254","376","25","0","67.55","2","England","Test","Lord's","1930-06-27","",""
"16","DA Warner",NA,"253","286","24","2","88.46","1","New Zealand","Test","Perth","2015-11-13","",""
"17","KD Walters",NA,"250","342","30","2","73.09","1","New Zealand","Test","Christchurch","1977-02-18","",""
"18","JL Langer",NA,"250","407","30","1","61.42","1","England","Test","Melbourne","2002-12-26","",""
"19","GS Chappell",NA,"247","356","30","1","69.38","1","New Zealand","Test","Wellington","1974-03-01","",""
"20","DG Bradman",NA,"244","271","32","1","90.03","1","England","Test","The Oval","1934-08-18","",""
"21","KD Walters",NA,"242","412","24","0","58.73","1","West Indies","Test","Sydney","1969-02-14","",""
"22","RT Ponting",NA,"242","352","31","0","68.75","1","India","Test","Adelaide","2003-12-12","",""
"23","AC Voges",NA,"239","364","30","3","65.65","2","New Zealand","Test","Wellington","2016-02-12","",""
"24","SPD Smith",NA,"239","399","30","1","59.89","2","England","Test","Perth","2017-12-14","",""
"25","GS Chappell",NA,"235","363","21","0","64.73","1","Pakistan","Test","Faisalabad","1980-03-06","",""
"26","SG Barnes",NA,"234","667","17","0","35.08","2","England","Test","Sydney","1946-12-13","",""
"27","DG Bradman",NA,"234","396","24","0","59.09","2","England","Test","Sydney","1946-12-13","",""
"28","DG Bradman",NA,"232","417","16","0","55.63","2","England","Test","The Oval","1930-08-16","",""
"29","SJ McCabe",NA,"232","277","34","1","83.75","2","England","Test","Nottingham","1938-06-10","",""
"30","MJ Clarke",NA,"230","257","40","1","89.49","1","South Africa","Test","Adelaide","2012-11-22","",""
"31","DG Bradman",NA,"226","-","22","0","-","1","South Africa","Test","Brisbane","1931-11-27","",""
"32","RB Simpson",NA,"225","427","18","1","52.69","2","England","Test","Adelaide","1966-01-28","",""
"33","DG Bradman",NA,"223","-","24","0","-","1","West Indies","Test","Brisbane","1931-01-16","",""
"34","JL Langer",NA,"223","355","30","0","62.81","2","India","Test","Sydney","2000-01-02","",""
