"","player_name","teamName","overs","maidens","runs_given","wickets","economy","innings_number","opposition","match_format","venue","date","city","batting_position"
"1","AA Mailey",NA,"47.0","8","121","9","2.57","3","England","Test","Melbourne","1921-02-11","",""
"2","GD McGrath",NA,"16.0","8","24","8","1.50","4","Pakistan","Test","Perth","2004-12-16","",""
"3","FJ Laver",NA,"18.2","7","31","8","1.69","2","England","Test","Manchester","1909-07-26","",""
"4","GD McGrath",NA,"20.3","8","38","8","1.85","1","England","Test","Lord's","1997-06-19","",""
"5","AE Trott",NA,"27.0","10","43","8","1.59","4","England","Test","Adelaide","1895-01-11","",""
"6","NM Lyon",NA,"22.2","4","50","8","2.23","1","India","Test","Bengaluru","2017-03-04","",""
"7","RAL Massie",NA,"27.2","9","53","8","1.93","3","England","Test","Lord's","1972-06-22","",""
"8","AA Mallett",NA,"23.6","6","59","8","1.86","3","Pakistan","Test","Adelaide","1972-12-22","",""
"9","MG Johnson",NA,"24.0","4","61","8","2.54","2","South Africa","Test","Perth","2008-12-17","",""
"10","H Trumble",NA,"31.0","13","65","8","2.09","2","England","Test","The Oval","1902-08-11","",""
"11","GD McKenzie",NA,"28.0","5","71","8","1.90","1","West Indies","Test","Melbourne","1968-12-26","",""
"12","SK Warne",NA,"50.2","22","71","8","1.41","4","England","Test","Brisbane","1994-11-25","",""
"13","RAL Massie",NA,"32.5","7","84","8","2.55","1","England","Test","Lord's","1972-06-22","",""
"14","MG Hughes",NA,"37.0","9","87","8","2.35","3","West Indies","Test","Perth","1988-12-02","",""
"15","CJ McDermott",NA,"24.4","2","97","8","3.93","1","England","Test","Perth","1991-02-01","",""
"16","SCG MacGill",NA,"33.3","2","108","8","3.22","1","Bangladesh","Test","Fatullah","2006-04-09","",""
"17","GF Lawson",NA,"40.0","7","112","8","2.80","1","West Indies","Test","Adelaide","1984-12-07","",""
"18","CJ McDermott",NA,"36.0","3","141","8","3.91","2","England","Test","Manchester","1985-08-01","",""
"19","MHN Walker",NA,"42.2","7","143","8","2.53","2","England","Test","Melbourne","1975-02-08","",""
"20","JJ Krejza",NA,"43.5","1","215","8","4.90","1","India","Test","Nagpur","2008-11-06","",""
"21","GD McGrath",NA,"7.0","4","15","7","2.14","2","Namibia","ODI","Potchefstroom","2003-02-27","",""
"22","MA Noble",NA,"7.4","2","17","7","2.21","2","England","Test","Melbourne","1902-01-01","",""
"23","AJ Bichel",NA,"10.0","0","20","7","2.00","1","England","ODI","Port Elizabeth","2003-03-02","",""
"24","H Ironmonger",NA,"20.0","7","23","7","1.15","1","West Indies","Test","Melbourne","1931-02-13","",""
"25","SK Warne",NA,"16.1","9","23","7","1.42","2","Pakistan","Test","Brisbane","1995-11-09","",""
"26","GR Hazlitt",NA,"21.4","8","25","7","1.15","3","England","Test","The Oval","1912-08-19","",""
"27","MR Whitney",NA,"12.1","3","27","7","2.21","4","India","Test","Perth","1992-02-01","",""
"28","H Trumble",NA,"6.5","0","28","7","4.09","4","England","Test","Melbourne","1904-03-05","",""
"29","JV Saunders",NA,"11.0","2","34","7","3.09","4","South Africa","Test","Johannesburg","1902-10-18","",""
"30","MS Kasprowicz",NA,"15.5","5","36","7","2.27","3","England","Test","The Oval","1997-08-21","",""
"31","JN Gillespie",NA,"13.4","1","37","7","2.70","1","England","Test","Leeds","1997-07-24","",""
"32","RR Lindwall",NA,"16.5","4","38","7","1.71","3","India","Test","Adelaide","1948-01-23","",""
"33","MS Kasprowicz",NA,"17.4","3","39","7","2.20","4","Sri Lanka","Test","Darwin","2004-07-01","",""
"34","CV Grimmett",NA,"19.5","9","40","7","2.01","3","South Africa","Test","Johannesburg","1936-02-15","",""
"35","MG Johnson",NA,"17.2","8","40","7","2.30","2","England","Test","Adelaide","2013-12-05","",""
"36","CTB Turner",NA,"38.0","23","43","7","1.69","3","England","Test","Sydney","1888-02-10","",""
