"","team_name","matches_played","matches_lost","loss_ratio","winner","result","start_date"
"1","Australia","5","0","0","Australia","won","1920-12-17"
"2","Australia","5","0","0","Australia","won","1931-11-27"
"3","Australia","6","1","0.166666666666667","Australia","won","1975-11-28"
"4","Australia","5","0","0","Australia","won","2000-11-23"
"5","Australia","5","0","0","Australia","won","2006-11-23"
"6","Australia","5","0","0","Australia","won","2013-11-21"
"7","Australia","5","1","0.2","Australia","won","1897-12-13"
"8","Australia","5","1","0.2","Australia","won","1901-12-13"
"9","Australia","5","1","0.2","Australia","won","1907-12-13"
"10","Australia","5","1","0.2","Australia","won","1910-12-09"
"11","Australia","5","1","0.2","Australia","won","1924-12-19"
"12","Australia","5","1","0.2","Australia","won","1930-12-12"
"13","Australia","5","0","0","Australia","won","1935-12-14"
"14","Australia","5","0","0","Australia","won","1947-11-28"
"15","Australia","5","0","0","Australia","won","1948-06-10"
"16","Australia","5","0","0","Australia","won","1949-12-24"
"17","Australia","5","1","0.2","Australia","won","1950-12-01"
"18","Australia","5","1","0.2","Australia","won","1951-11-09"
"19","Australia","5","0","0","Australia","won","1958-12-05"
"20","Australia","4","0","0","Australia","won","1967-12-23"
"21","Australia","6","1","0.166666666666667","Australia","won","1974-11-29"
"22","Australia","6","0","0","Australia","won","1989-06-08"
"23","Australia","5","0","0","Australia","won","1991-11-29"
"24","Australia","6","1","0.166666666666667","Australia","won","1993-06-03"
"25","Australia","5","1","0.2","Australia","won","2001-07-05"
"26","Australia","5","1","0.2","Australia","won","2002-11-07"
"27","Australia","4","0","0","Australia","won","2011-12-26"
"28","Australia","5","0","0","Australia","won","2017-11-23"
"29","Australia","5","0","0","Australia","won","1921-05-28"
"30","Australia","5","2","0.4","Australia","won","1936-12-04"
"31","Australia","5","0","0","Australia","won","1946-11-29"
"32","Australia","5","0","0","Australia","won","1955-03-26"
"33","Australia","5","0","0","Australia","won","1957-12-23"
"34","Australia","5","1","0.2","Australia","won","1968-12-06"
"35","Australia","5","1","0.2","Australia","won","1969-11-04"
"36","Australia","3","0","0","Australia","won","1972-12-22"
"37","Australia","5","2","0.4","Australia","won","1977-12-02"
"38","Australia","3","0","0","Australia","won","1979-12-14"
"39","Australia","5","0","0","Australia","won","1990-11-23"
"40","Australia","5","1","0.2","Australia","won","1994-11-25"
"41","Australia","3","0","0","Australia","won","1995-12-08"
"42","Australia","5","2","0.4","Australia","won","1996-11-22"
"43","Australia","6","2","0.333333333333333","Australia","won","1997-06-05"
"44","Australia","5","1","0.2","Australia","won","1998-11-20"
"45","Australia","3","0","0","Australia","won","1999-11-05"
"46","Australia","3","0","0","Australia","won","1999-12-10"
"47","Australia","3","0","0","Australia","won","2000-03-11"
"48","Australia","3","0","0","Australia","won","2001-12-14"
"49","Australia","3","0","0","Australia","won","2002-10-03"
"50","Australia","4","1","0.25","Australia","won","2003-04-10"
"51","Australia","3","0","0","Australia","won","2004-03-08"
"52","Australia","3","0","0","Australia","won","2004-12-16"
"53","Australia","3","0","0","Australia","won","2005-11-03"
"54","Australia","3","0","0","Australia","won","2006-03-16"
"55","Australia","3","0","0","Australia","won","2009-12-26"
"56","Australia","3","0","0","Australia","won","2012-12-14"
"57","Australia","3","0","0","Australia","won","2016-12-15"
"58","Australia","4","0","0","Australia","won","1881-12-31"
"59","Australia","5","3","0.6","England","lost","1884-12-12"
"60","Australia","3","1","0.333333333333333","Australia","won","1892-01-01"
"61","Australia","5","3","0.6","England","lost","1894-12-14"
"62","Australia","5","1","0.2","Australia","won","1902-05-29"
"63","Australia","3","0","0","Australia","won","1902-10-11"
"64","Australia","5","3","0.6","England","lost","1903-12-11"
"65","Australia","5","1","0.2","Australia","won","1909-05-27"
"66","Australia","3","0","0","Australia","won","1912-05-27"
"67","Australia","6","1","0.166666666666667","England","lost","1912-05-27"
"68","Australia","5","1","0.2","Australia","won","1930-06-13"
"69","Australia","5","1","0.2","Australia","won","1934-06-08"
"70","Australia","5","2","0.4","drawn","lost","1952-12-05"
"71","Australia","3","0","0","Australia","won","1956-10-19"
"72","Australia","3","0","0","Australia","won","1959-11-13"
"73","Australia","5","1","0.2","Australia","won","1959-12-12"
"74","Australia","5","1","0.2","Australia","won","1960-12-09"
"75","Australia","5","1","0.2","Australia","won","1961-06-08"
"76","Australia","5","2","0.4","drawn","lost","1972-06-08"
"77","Australia","5","0","0","Australia","won","1973-02-16"
"78","Australia","3","0","0","Australia","won","1973-12-29"
"79","Australia","3","0","0","Australia","won","1980-11-28"
"80","Australia","3","1","0.333333333333333","Australia","won","1981-11-13"
"81","Australia","5","1","0.2","Australia","won","1982-11-12"
"82","Australia","5","0","0","Australia","won","1983-11-11"
"83","Australia","3","0","0","Australia","won","1993-11-12"
"84","Australia","4","1","0.25","Australia","won","1995-03-31"
"85","Australia","3","1","0.333333333333333","Australia","won","1995-11-09"
"86","Australia","3","1","0.333333333333333","Australia","won","1997-02-28"
"87","Australia","3","0","0","Australia","won","1997-11-07"
"88","Australia","4","2","0.5","drawn","lost","1999-03-05"
"89","Australia","3","1","0.333333333333333","Australia","won","2002-02-22"
"90","Australia","2","0","0","Australia","won","2003-07-18"
"91","Australia","2","0","0","Australia","won","2003-10-09"
"92","Australia","4","1","0.25","Australia","won","2004-10-06"
"93","Australia","2","0","0","Australia","won","2004-11-18"
"94","Australia","3","0","0","Australia","won","2005-03-10"
"95","Australia","3","0","0","Australia","won","2005-12-16"
"96","Australia","2","0","0","Australia","won","2006-04-09"
"97","Australia","2","0","0","Australia","won","2007-11-08"
"98","Australia","4","1","0.25","Australia","won","2007-12-26"
"99","Australia","3","0","0","Australia","won","2008-05-22"
"100","Australia","2","0","0","Australia","won","2008-11-20"
"101","Australia","3","1","0.333333333333333","Australia","won","2009-02-26"
"102","Australia","3","0","0","Australia","won","2009-11-26"
"103","Australia","2","0","0","Australia","won","2010-03-19"
"104","Australia","3","0","0","Australia","won","2012-04-07"
"105","Australia","3","1","0.333333333333333","Australia","won","2014-02-12"
"106","Australia","4","0","0","Australia","won","2014-12-09"
"107","Australia","2","0","0","Australia","won","2015-06-03"
"108","Australia","5","3","0.6","England","lost","2015-07-08"
"109","Australia","3","0","0","Australia","won","2015-11-05"
"110","Australia","3","0","0","Australia","won","2015-12-10"
"111","Australia","2","0","0","Australia","won","2016-02-12"
"112","Australia","2","0","0","Australia","won","2019-01-24"
"113","Australia","2","1","0.5","drawn","lost","1877-03-15"
"114","Australia","1","0","0","Australia","won","1879-01-02"
"115","Australia","1","0","0","Australia","won","1882-08-28"
"116","Australia","3","2","0.666666666666667","England","lost","1882-12-30"
"117","Australia","1","0","0","Australia","won","1883-02-17"
"118","Australia","3","2","0.666666666666667","England","lost","1888-07-16"
"119","Australia","3","2","0.666666666666667","England","lost","1896-06-22"
"120","Australia","5","0","0","Australia","won","1899-06-01"
"121","Australia","5","4","0.8","England","lost","1911-12-15"
"122","Australia","3","0","0","Australia","won","1921-11-05"
"123","Australia","5","4","0.8","England","lost","1928-11-30"
"124","Australia","5","4","0.8","England","lost","1932-12-02"
"125","Australia","4","1","0.25","drawn","lost","1938-06-10"
"126","Australia","1","0","0","Australia","won","1946-03-29"
"127","Australia","5","3","0.6","England","lost","1954-11-26"
"128","Australia","5","2","0.4","England","lost","1956-06-07"
"129","Australia","5","1","0.2","drawn","lost","1962-11-30"
"130","Australia","5","1","0.2","drawn","lost","1963-12-06"
"131","Australia","5","0","0","Australia","won","1964-06-04"
"132","Australia","3","1","0.333333333333333","drawn","lost","1964-10-02"
"133","Australia","5","2","0.4","West Indies","lost","1965-03-03"
"134","Australia","5","1","0.2","drawn","lost","1965-12-10"
"135","Australia","5","3","0.6","South Africa","lost","1966-12-23"
"136","Australia","5","1","0.2","drawn","lost","1968-06-06"
"137","Australia","3","1","0.333333333333333","drawn","lost","1974-03-01"
"138","Australia","4","0","0","Australia","won","1975-07-10"
"139","Australia","3","1","0.333333333333333","drawn","lost","1976-12-24"
"140","Australia","2","0","0","Australia","won","1977-02-18"
"141","Australia","1","0","0","Australia","won","1977-03-12"
"142","Australia","5","3","0.6","West Indies","lost","1978-03-03"
"143","Australia","6","5","0.833333333333333","England","lost","1978-12-01"
"144","Australia","2","1","0.5","drawn","lost","1979-03-10"
"145","Australia","3","1","0.333333333333333","drawn","lost","1981-01-02"
"146","Australia","6","3","0.5","England","lost","1981-06-18"
"147","Australia","3","1","0.333333333333333","drawn","lost","1981-12-26"
"148","Australia","3","1","0.333333333333333","drawn","lost","1982-02-26"
"149","Australia","1","0","0","Australia","won","1983-04-22"
"150","Australia","5","3","0.6","West Indies","lost","1984-11-09"
"151","Australia","6","3","0.5","England","lost","1985-06-13"
"152","Australia","3","2","0.666666666666667","New Zealand","lost","1985-11-08"
"153","Australia","5","2","0.4","England","lost","1986-11-14"
"154","Australia","3","0","0","Australia","won","1987-12-04"
"155","Australia","1","0","0","Australia","won","1988-02-12"
"156","Australia","5","3","0.6","West Indies","lost","1988-11-18"
"157","Australia","2","0","0","Australia","won","1989-12-08"
"158","Australia","3","0","0","Australia","won","1990-01-12"
"159","Australia","5","2","0.4","West Indies","lost","1991-03-01"
"160","Australia","3","0","0","Australia","won","1992-08-17"
"161","Australia","5","2","0.4","West Indies","lost","1992-11-27"
"162","Australia","3","1","0.333333333333333","drawn","lost","1993-02-25"
"163","Australia","3","1","0.333333333333333","drawn","lost","1993-12-26"
"164","Australia","3","1","0.333333333333333","drawn","lost","1994-03-04"
