"","player_name","teamName","runs","balls_faced","4s","6s","strike_rate","innings_number","opposition","match_format","venue","date","city","batting_position"
"1","V Sehwag",NA,"319","304","42","5","104.93","2","South Africa","Test","Chennai","2008-03-26","",""
"2","V Sehwag",NA,"309","375","39","6","82.40","1","Pakistan","Test","Multan","2004-03-28","",""
"3","KK Nair",NA,"303","381","32","4","79.52","2","England","Test","Chennai","2016-12-16","",""
"4","V Sehwag",NA,"293","254","40","7","115.35","2","Sri Lanka","Test","Mumbai (BS)","2009-12-02","",""
"5","VVS Laxman",NA,"281","452","44","0","62.16","3","Australia","Test","Kolkata","2001-03-11","",""
"6","R Dravid",NA,"270","495","34","1","54.54","2","Pakistan","Test","Rawalpindi","2004-04-13","",""
"7","RG Sharma",NA,"264","173","33","9","152.60","1","Sri Lanka","ODI","Kolkata","2014-11-13","",""
"8","V Sehwag",NA,"254","247","47","1","102.83","2","Pakistan","Test","Lahore","2006-01-13","",""
"9","SR Tendulkar",NA,"248","379","35","0","65.43","2","Bangladesh","Test","Dhaka","2004-12-10","",""
"10","V Kohli",NA,"243","287","25","0","84.66","1","Sri Lanka","Test","Delhi","2017-12-02","",""
"11","SR Tendulkar",NA,"241","436","33","0","55.27","1","Australia","Test","Sydney","2004-01-02","",""
"12","SC Ganguly",NA,"239","361","30","2","66.20","1","Pakistan","Test","Bengaluru","2007-12-08","",""
"13","SM Gavaskar",NA,"236","425","23","0","55.52","2","West Indies","Test","Chennai","1983-12-24","",""
"14","V Kohli",NA,"235","340","25","1","69.11","2","England","Test","Mumbai","2016-12-08","",""
"15","R Dravid",NA,"233","446","23","1","52.24","2","Australia","Test","Adelaide","2003-12-12","",""
"16","MH Mankad",NA,"231","-","21","0","-","1","New Zealand","Test","Chennai","1956-01-06","",""
"17","VG Kambli",NA,"227","301","28","0","75.41","1","Zimbabwe","Test","Delhi","1993-03-13","",""
"18","VG Kambli",NA,"224","411","23","0","54.50","2","England","Test","Mumbai","1993-02-19","",""
"19","MS Dhoni",NA,"224","265","24","6","84.52","2","Australia","Test","Chennai","2013-02-22","",""
"20","PR Umrigar",NA,"223","-","26","0","-","1","New Zealand","Test","Hyderabad (Deccan)","1955-11-19","",""
"21","MH Mankad",NA,"223","-","22","0","-","1","New Zealand","Test","Mumbai (BS)","1955-12-02","",""
"22","GR Viswanath",NA,"222","374","31","0","59.35","1","England","Test","Chennai","1982-01-13","",""
"23","R Dravid",NA,"222","387","28","1","57.36","1","New Zealand","Test","Ahmedabad","2003-10-08","",""
"24","SM Gavaskar",NA,"221","443","21","0","49.88","4","England","Test","The Oval","1979-08-30","",""
"25","SM Gavaskar",NA,"220","-","22","0","-","3","West Indies","Test","Port of Spain","1971-04-13","",""
"26","V Sehwag",NA,"219","149","25","7","146.97","1","West Indies","ODI","Indore","2011-12-08","",""
"27","SV Manjrekar",NA,"218","401","28","0","54.36","1","Pakistan","Test","Lahore","1989-12-01","",""
"28","SR Tendulkar",NA,"217","344","29","0","63.08","1","New Zealand","Test","Ahmedabad","1999-10-29","",""
"29","R Dravid",NA,"217","468","28","0","46.36","2","England","Test","The Oval","2002-09-05","",""
"30","SR Tendulkar",NA,"214","363","22","2","58.95","2","Australia","Test","Bengaluru","2010-10-09","",""
"31","V Kohli",NA,"213","267","17","2","79.77","2","Sri Lanka","Test","Nagpur","2017-11-24","",""
"32","DN Sardesai",NA,"212","-","17","1","-","1","West Indies","Test","Kingston","1971-02-18","",""
"33","W Jaffer",NA,"212","399","24","1","53.13","3","West Indies","Test","St John's","2006-06-02","",""
"34","V Kohli",NA,"211","366","20","0","57.65","1","New Zealand","Test","Indore","2016-10-08","",""
"35","RG Sharma",NA,"209","158","12","16","132.27","1","Australia","ODI","Bengaluru","2013-11-02","",""
"36","RG Sharma",NA,"208","153","13","12","135.94","1","Sri Lanka","ODI","Mohali","2017-12-13","",""
"37","CA Pujara",NA,"206","389","21","0","52.95","1","England","Test","Ahmedabad","2012-11-15","",""
"38","RJ Shastri",NA,"206","477","17","2","43.18","2","Australia","Test","Sydney","1992-01-02","",""
"39","G Gambhir",NA,"206","380","26","1","54.21","1","Australia","Test","Delhi","2008-10-29","",""
"40","SM Gavaskar",NA,"205","342","29","2","59.94","1","West Indies","Test","Mumbai","1978-12-01","",""
"41","CA Pujara",NA,"204","341","30","1","59.82","2","Australia","Test","Hyderabad (Deccan)","2013-03-02","",""
"42","V Kohli",NA,"204","246","24","0","82.92","1","Bangladesh","Test","Hyderabad (Deccan)","2017-02-09","",""
"43","MAK Pataudi",NA,"203","-","23","2","-","3","England","Test","Delhi","1964-02-08","",""
"44","SR Tendulkar",NA,"203","347","23","1","58.50","2","Sri Lanka","Test","Colombo (SSC)","2010-07-26","",""
"45","W Jaffer",NA,"202","274","34","0","73.72","1","Pakistan","Test","Kolkata","2007-11-30","",""
"46","CA Pujara",NA,"202","525","21","0","38.47","2","Australia","Test","Ranchi","2017-03-16","",""
"47","SR Tendulkar",NA,"201","281","27","0","71.53","1","Zimbabwe","Test","Nagpur","2000-11-25","",""
"48","V Sehwag",NA,"201","231","22","4","87.01","1","Sri Lanka","Test","Galle","2008-07-31","",""
"49","AD Gaekwad",NA,"201","436","17","0","46.10","2","Pakistan","Test","Jalandhar","1983-09-24","",""
"50","NS Sidhu",NA,"201","491","19","1","40.93","2","West Indies","Test","Port of Spain","1997-03-14","",""
"51","V Sehwag",NA,"201","262","28","2","76.71","2","Pakistan","Test","Bengaluru","2005-03-24","",""
"52","DN Sardesai",NA,"200","-","25","0","-","3","New Zealand","Test","Mumbai (BS)","1965-03-12","",""
"53","R Dravid",NA,"200","350","27","0","57.14","2","Zimbabwe","Test","Delhi","2000-11-18","",""
"54","VVS Laxman",NA,"200","301","21","0","66.44","1","Australia","Test","Delhi","2008-10-29","",""
"55","SR Tendulkar",NA,"200","147","25","3","136.05","1","South Africa","ODI","Gwalior","2010-02-24","",""
"56","V Kohli",NA,"200","283","24","0","70.67","1","West Indies","Test","North Sound","2016-07-21","",""
"57","M Azharuddin",NA,"199","-","16","1","-","2","Sri Lanka","Test","Kanpur","1986-12-17","",""
"58","KL Rahul",NA,"199","311","16","3","63.98","2","England","Test","Chennai","2016-12-16","",""
"59","V Sehwag",NA,"195","233","25","5","83.69","1","Australia","Test","Melbourne","2003-12-26","",""
"60","SR Tendulkar",NA,"194","348","21","0","55.74","1","Pakistan","Test","Multan","2004-03-28","",""
"61","SR Tendulkar",NA,"193","330","19","3","58.48","1","England","Test","Leeds","2002-08-22","",""
"62","CA Pujara",NA,"193","373","22","0","51.74","1","Australia","Test","Sydney","2019-01-03","",""
"63","BK Kunderan",NA,"192","-","31","0","-","1","England","Test","Chennai","1964-01-10","",""
"64","M Azharuddin",NA,"192","259","26","0","74.13","2","New Zealand","Test","Auckland","1990-02-22","",""
"65","R Dravid",NA,"191","396","21","0","48.23","2","New Zealand","Test","Nagpur","2010-11-20","",""
"66","R Dravid",NA,"190","354","31","0","53.67","2","New Zealand","Test","Hamilton","1999-01-02","",""
