"","player_name","teamName","overs","maidens","runs_given","wickets","economy","innings_number","opposition","match_format","venue","date","city","batting_position"
"1","A Kumble",NA,"26.3","9","74","10","2.79","4","Pakistan","Test","Delhi","1999-02-04","",""
"2","JM Patel",NA,"35.5","16","69","9","1.92","2","Australia","Test","Kanpur","1959-12-19","",""
"3","N Kapil Dev",NA,"30.3","6","83","9","2.72","3","West Indies","Test","Ahmedabad","1983-11-12","",""
"4","SP Gupte",NA,"34.3","11","102","9","2.95","1","West Indies","Test","Kanpur","1958-12-12","",""
"5","MH Mankad",NA,"47.0","27","52","8","1.10","2","Pakistan","Test","Delhi","1952-10-16","",""
"6","MH Mankad",NA,"38.5","15","55","8","1.41","1","England","Test","Chennai","1952-02-06","",""
"7","ND Hirwani",NA,"18.3","3","61","8","3.29","2","West Indies","Test","Chennai","1988-01-11","",""
"8","S Venkataraghavan",NA,"51.1","26","72","8","1.40","1","New Zealand","Test","Delhi","1965-03-19","",""
"9","ND Hirwani",NA,"15.2","3","75","8","4.89","4","West Indies","Test","Chennai","1988-01-11","",""
"10","EAS Prasanna",NA,"23.0","5","76","8","2.47","3","New Zealand","Test","Auckland","1976-01-24","",""
"11","BS Chandrasekhar",NA,"41.5","18","79","8","1.88","2","England","Test","Delhi","1972-12-20","",""
"12","Harbhajan Singh",NA,"41.5","20","84","8","2.00","3","Australia","Test","Chennai","2001-03-18","",""
"13","N Kapil Dev",NA,"30.5","7","85","8","2.75","1","Pakistan","Test","Lahore","1983-01-23","",""
"14","J Srinath",NA,"27.0","6","86","8","3.18","3","Pakistan","Test","Kolkata","1999-02-16","",""
"15","N Kapil Dev",NA,"38.0","6","106","8","2.78","1","Australia","Test","Adelaide","1985-12-13","",""
"16","A Kumble",NA,"46.5","7","141","8","3.01","2","Australia","Test","Sydney","2004-01-02","",""
"17","Maninder Singh",NA,"18.2","8","27","7","1.47","1","Pakistan","Test","Bengaluru","1987-03-13","",""
"18","Harbhajan Singh",NA,"28.3","12","48","7","1.68","3","West Indies","Test","Mumbai","2002-10-09","",""
"19","A Kumble",NA,"17.3","4","48","7","2.74","1","Australia","Test","Chennai","2004-10-14","",""
"20","RA Jadeja",NA,"25.0","5","48","7","1.92","3","England","Test","Chennai","2016-12-16","",""
"21","Ghulam Ahmed",NA,"20.3","6","49","7","2.39","1","Australia","Test","Kolkata","1956-11-02","",""
"22","Maninder Singh",NA,"17.4","4","51","7","2.88","3","Sri Lanka","Test","Nagpur","1986-12-27","",""
"23","N Kapil Dev",NA,"23.4","7","56","7","2.36","3","Pakistan","Test","Chennai","1980-01-15","",""
"24","A Kumble",NA,"27.3","9","59","7","2.14","3","Sri Lanka","Test","Lucknow","1994-01-18","",""
"25","IK Pathan",NA,"15.2","4","59","7","3.84","1","Zimbabwe","Test","Harare","2005-09-20","",""
"26","R Ashwin",NA,"13.5","2","59","7","4.26","4","New Zealand","Test","Indore","2016-10-08","",""
"27","Harbhajan Singh",NA,"22.2","3","62","7","2.77","2","Sri Lanka","Test","Ahmedabad","2005-12-18","",""
"28","A Kumble",NA,"38.0","16","63","7","1.65","4","Pakistan","Test","Kolkata","2005-03-16","",""
"29","R Ashwin",NA,"29.5","7","66","7","2.21","4","South Africa","Test","Nagpur","2015-11-25","",""
"30","I Sharma",NA,"23.0","6","74","7","3.21","4","England","Test","Lord's","2014-07-17","",""
"31","R Ashwin",NA,"25.0","8","83","7","3.32","3","West Indies","Test","North Sound","2016-07-21","",""
"32","L Amar Singh",NA,"44.4","13","86","7","1.92","1","England","Test","Chennai","1934-02-10","",""
"33","Harbhajan Singh",NA,"30.0","3","87","7","2.90","3","South Africa","Test","Kolkata","2004-11-28","",""
"34","Z Khan",NA,"20.3","2","87","7","4.24","3","Bangladesh","Test","Dhaka","2010-01-24","",""
"35","BS Bedi",NA,"50.0","19","98","7","1.96","2","Australia","Test","Kolkata","1969-12-12","",""
"36","R Ashwin",NA,"42.0","12","103","7","2.45","1","Australia","Test","Chennai","2013-02-22","",""
"37","A Kumble",NA,"51.0","13","115","7","2.25","1","England","Test","Ahmedabad","2001-12-11","",""
"38","Harbhajan Singh",NA,"38.0","1","120","7","3.15","3","South Africa","Test","Cape Town","2011-01-02","",""
"39","Harbhajan Singh",NA,"37.5","7","123","7","3.25","1","Australia","Test","Kolkata","2001-03-11","",""
"40","SP Gupte",NA,"76.4","35","128","7","1.66","2","New Zealand","Test","Hyderabad (Deccan)","1955-11-19","",""
"41","Harbhajan Singh",NA,"38.2","6","133","7","3.46","1","Australia","Test","Chennai","2001-03-18","",""
"42","BS Chandrasekhar",NA,"61.5","17","157","7","2.53","2","West Indies","Test","Mumbai (BS)","1966-12-13","",""
"43","DG Phadkar",NA,"45.3","10","159","7","3.49","1","West Indies","Test","Chennai","1949-01-27","",""
"44","SP Gupte",NA,"66.0","15","162","7","2.45","2","West Indies","Test","Port of Spain","1953-01-21","",""
"45","N Kapil Dev",NA,"38.4","3","220","7","5.68","2","Pakistan","Test","Faisalabad","1983-01-03","",""
"46","STR Binny",NA,"4.4","2","4","6","0.85","2","Bangladesh","ODI","Dhaka","2014-06-17","",""
"47","SLV Raju",NA,"17.5","13","12","6","0.67","2","Sri Lanka","Test","Chandigarh","1990-11-23","",""
"48","A Kumble",NA,"6.1","2","12","6","1.94","2","West Indies","ODI","Kolkata","1993-11-27","",""
"49","J Srinath",NA,"11.5","4","21","6","1.77","4","South Africa","Test","Ahmedabad","1996-11-20","",""
"50","A Nehra",NA,"10.0","2","23","6","2.30","2","England","ODI","Durban","2003-02-26","",""
"51","YS Chahal",NA,"4.0","0","25","6","6.25","2","England","T20I","Bengaluru","2017-02-01","",""
"52","Kuldeep Yadav",NA,"10.0","0","25","6","2.50","1","England","ODI","Nottingham","2018-07-12","",""
"53","M Kartik",NA,"10.0","3","27","6","2.70","1","Australia","ODI","Mumbai","2007-10-17","",""
"54","R Ashwin",NA,"16.3","5","31","6","1.87","2","New Zealand","Test","Hyderabad (Deccan)","2012-08-23","",""
"55","BKV Prasad",NA,"10.2","5","33","6","3.19","3","Pakistan","Test","Chennai","1999-01-28","",""
"56","JJ Bumrah",NA,"15.5","4","33","6","2.08","2","Australia","Test","Melbourne","2018-12-26","",""
"57","L Amar Singh",NA,"25.1","11","35","6","1.39","2","England","Test","Lord's","1936-06-27","",""
"58","BS Chandrasekhar",NA,"18.1","3","38","6","2.09","3","England","Test","The Oval","1971-08-19","",""
"59","AB Agarkar",NA,"16.2","2","41","6","2.51","3","Australia","Test","Adelaide","2003-12-12","",""
"60","R Ashwin",NA,"12.4","4","41","6","3.23","4","Australia","Test","Bengaluru","2017-03-04","",""
"61","BS Bedi",NA,"30.5","16","42","6","1.36","4","New Zealand","Test","Mumbai (BS)","1969-09-25","",""
"62","AB Agarkar",NA,"9.3","1","42","6","4.42","1","Australia","ODI","Melbourne","2004-01-09","",""
"63","YS Chahal",NA,"10.0","0","42","6","4.20","1","Australia","ODI","Melbourne","2019-01-18","",""
"64","RG Nadkarni",NA,"30.0","12","43","6","1.43","3","New Zealand","Test","Wellington","1968-02-29","",""
"65","J Srinath",NA,"22.0","9","45","6","2.04","2","New Zealand","Test","Mohali","1999-10-10","",""
"66","R Ashwin",NA,"13.4","2","46","6","3.36","1","Sri Lanka","Test","Galle","2015-08-12","",""
"67","R Ashwin",NA,"21.3","5","47","6","2.18","3","West Indies","Test","Delhi","2011-11-06","",""
"68","PP Ojha",NA,"27.0","5","47","6","1.74","3","West Indies","Test","Mumbai","2011-11-22","",""
"69","A Mishra",NA,"8.5","0","48","6","5.43","1","Zimbabwe","ODI","Bulawayo","2013-08-03","",""
"70","GS Ramchand",NA,"28.0","10","49","6","1.75","1","Pakistan","Test","Karachi","1955-02-26","",""
"71","IK Pathan",NA,"15.0","5","51","6","3.40","3","Bangladesh","Test","Dhaka","2004-12-10","",""
"72","I Sharma",NA,"17.0","3","51","6","3.00","1","New Zealand","Test","Wellington","2014-02-14","",""
"73","BS Chandrasekhar",NA,"14.1","2","52","6","2.76","2","Australia","Test","Melbourne","1977-12-30","",""
"74","BS Chandrasekhar",NA,"20.0","3","52","6","1.95","4","Australia","Test","Melbourne","1977-12-30","",""
"75","A Kumble",NA,"44.0","22","53","6","1.20","3","South Africa","Test","Johannesburg","1992-11-26","",""
"76","R Ashwin",NA,"26.5","9","54","6","2.01","3","New Zealand","Test","Hyderabad (Deccan)","2012-08-23","",""
"77","S Abid Ali",NA,"17.0","2","55","6","2.42","1","Australia","Test","Adelaide","1967-12-23","",""
"78","S Sreesanth",NA,"10.0","1","55","6","5.50","1","England","ODI","Indore","2006-04-15","",""
"79","I Sharma",NA,"21.5","7","55","6","2.51","2","West Indies","Test","Bridgetown","2011-06-28","",""
"80","R Ashwin",NA,"20.3","3","55","6","2.68","3","England","Test","Mumbai","2016-12-08","",""
"81","RB Desai",NA,"25.0","9","56","6","2.24","1","New Zealand","Test","Mumbai (BS)","1965-03-12","",""
"82","RMH Binny",NA,"25.1","8","56","6","2.22","2","Pakistan","Test","Kolkata","1987-02-11","",""
"83","Mohammed Shami",NA,"24.0","8","56","6","2.33","3","Australia","Test","Perth","2018-12-14","",""
"84","C Sharma",NA,"24.0","4","58","6","2.41","3","England","Test","Birmingham","1986-07-03","",""
"85","ND Hirwani",NA,"30.0","10","59","6","1.96","4","New Zealand","Test","Bengaluru","1988-11-12","",""
"86","ND Hirwani",NA,"31.0","10","59","6","1.90","2","New Zealand","Test","Cuttack","1995-11-08","",""
"87","A Nehra",NA,"10.0","1","59","6","5.90","1","Sri Lanka","ODI","Colombo (RPS)","2005-08-09","",""
"88","Harbhajan Singh",NA,"31.0","5","62","6","2.00","3","Zimbabwe","Test","Delhi","2002-02-28","",""
"89","N Kapil Dev",NA,"28.0","5","63","6","2.25","2","Pakistan","Test","Kanpur","1979-12-25","",""
"90","Harbhajan Singh",NA,"28.0","2","63","6","2.25","3","New Zealand","Test","Hamilton","2009-03-18","",""
"91","RA Jadeja",NA,"21.4","1","63","6","2.90","2","Australia","Test","Bengaluru","2017-03-04","",""
"92","L Sivaramakrishnan",NA,"31.2","10","64","6","2.04","1","England","Test","Mumbai","1984-11-28","",""
"93","A Kumble",NA,"21.0","7","64","6","3.04","3","England","Test","Chennai","1993-02-11","",""
"94","A Kumble",NA,"26.5","5","67","6","2.49","3","New Zealand","Test","Kanpur","1999-10-22","",""
"95","A Kumble",NA,"24.5","7","70","6","2.81","1","Pakistan","Test","Chennai","1999-01-28","",""
"96","BS Bedi",NA,"21.3","4","71","6","3.30","4","England","Test","Bengaluru","1977-01-28","",""
"97","A Kumble",NA,"30.0","10","72","6","2.40","3","Pakistan","Test","Multan","2004-03-28","",""
"98","A Kumble",NA,"28.0","6","72","6","2.57","2","Sri Lanka","Test","Delhi","2005-12-10","",""
